Data Source,Licence,Home Page
09.covid_abs,http://opendatacommons.org/licenses/by/1.0/,https://analisi.transparenciacatalunya.cat/Salut/Registre-de-casos-de-COVID-19-realitzats-a-Catalun/xuwf-dxjd
09.covid_cumun,http://opendatacommons.org/licenses/by/1.0/,https://analisi.transparenciacatalunya.cat/Salut/Registre-de-casos-de-COVID-19-realitzats-a-Catalun/jj6z-iyrp
09.covid_aga,http://opendatacommons.org/licenses/by/1.0/,https://analisi.transparenciacatalunya.cat/Salut/Dades-di-ries-de-COVID-19-per-rees-de-gesti-assist/dmzh-fz47
09.covid_shire,http://opendatacommons.org/licenses/by/1.0/,https://analisi.transparenciacatalunya.cat/Salut/Dades-di-ries-de-COVID-19-per-comarca/c7sd-zy9j
09.pop_abs,Vegeu les Condicions d'ús.,https://analisi.transparenciacatalunya.cat/Salut/Registre-central-de-poblaci-del-CatSalut/ftq4-h9vk
09.deceased_shire,http://opendatacommons.org/licenses/by/1.0/,https://analisi.transparenciacatalunya.cat/Salut/Registre-de-defuncions-per-COVID-19-a-Catalunya-Se/uqk7-bf9s
13.covid_abs,https://creativecommons.org/licenses/by/4.0/legalcode.es,"https://datos.comunidad.madrid/catalogo/dataset/covid19_tia_zonas_basicas_salud,https://datos.gob.es/es/catalogo/a13002908-covid-19-tia-zonas-basicas-de-salud1"
13.covid_mundis,https://creativecommons.org/licenses/by/4.0/legalcode.es,"https://datos.comunidad.madrid/catalogo/dataset/covid19_tia_muni_y_distritos,https://datos.gob.es/es/catalogo/a13002908-covid-19-tia-por-municipios-y-distritos-de-madrid1"
16.covid_abs,https://creativecommons.org/licenses/by/4.0/deed.es_ES,"https://opendata.euskadi.eus/catalogo/-/evolucion-del-coronavirus-covid-19-en-euskadi/,https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/index.json"
16.covid_cumun,https://creativecommons.org/licenses/by/4.0/deed.es_ES,"https://opendata.euskadi.eus/catalogo/-/evolucion-del-coronavirus-covid-19-en-euskadi/,https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/index.json"
16.covid_hosp,https://creativecommons.org/licenses/by/4.0/deed.es_ES,"https://opendata.euskadi.eus/catalogo/-/evolucion-del-coronavirus-covid-19-en-euskadi/,https://opendata.euskadi.eus/contenidos/ds_informes_estudios/covid_19_2020/opendata/index.json"
15.covid_abs,https://creativecommons.org/licenses/by/4.0/deed.es,"https://gobiernoabierto.navarra.es/es/open-data/datos/datos-zonas-basicas-salud-covid-19,https://gobiernoabierto.navarra.es/es/open-data/datos/datos-poblacion-zonas-basicas-salud-covid-19"
07.covid_abs,https://creativecommons.org/licenses/by/4.0/deed.es_ES,"https://datosabiertos.jcyl.es/web/jcyl/set/es/salud/tasa-coronavirus-zonas-basicas-salud/1284942912395,https://analisis.datosabiertos.jcyl.es/explore/embed/dataset/tasa-enfermos-acumulados-por-areas-de-salud/table/"
07.covid_hosp,https://creativecommons.org/licenses/by/4.0/deed.es_ES,"https://datosabiertos.jcyl.es/web/jcyl/set/es/salud/situacion-coronavirus-hospitales/1284941728695,https://analisis.datosabiertos.jcyl.es/explore/dataset/situacion-de-hospitalizados-por-coronavirus-en-castilla-y-leon/table/"
07.deceased_abs,https://creativecommons.org/licenses/by/4.0/deed.es_ES,"https://datosabiertos.jcyl.es/web/jcyl/set/es/salud/tasa-mortalidad-centros-coronavirus/1284947958320,https://analisis.datosabiertos.jcyl.es/explore/dataset/tasa-mortalidad-covid-por-zonas-basicas-de-salud/table/"
02.covid_hosp,https://creativecommons.org/licenses/by/4.0/,https://opendata.aragon.es/datos/catalogo/dataset/publicaciones-y-anuncios-relacionados-con-el-coronavirus-en-aragon
